name@version *,license *,copyrights *,end-of-support,dependencies,language,repository,email,URL
asm-7.1.jar,"BSD",-,-,-,Java,-,-,http://asm.ow2.org/license.html
aspectjrt-1.9.7.jar,"EPL-2.0",-,-,-,Java,-,-,-
aspectjtools-1.9.7.jar,"EPL-2.0",-,-,-,Java,-,-,-
aspectjweaver-1.9.7.jar,"EPL-2.0",-,-,-,Java,-,-,-
bcprov-jdk15on-1.64.jar,"BouncyCastle License",-,-,-,Java,-,-,-
bootbox.min.js,MIT,-,-,-,Javascript,-,-,-
bootstrap.min.js,MIT,Twitter,-,-,Javascript,-,-,-
cache-api-1.1.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
camel-core-engine-3.11.3.jar,"Apache-2.0",-,-,-,Java,-,-,-
cglib-3.3.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
classmate-1.3.4.jar,"Apache-2.0",-,-,-,Java,-,-,-
codemodel-2.3.5.jar,"EDL-1.0",-,-,-,Java,-,-,-
commons-codec-1.11.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-io-2.8.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-lang3-3.12.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-logging-1.2.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-text-1.9.jar,"Apache-2.0",-,-,-,Java,-,-,-
cryptacular-1.2.4.jar,"Apache-2.0",-,-,-,Java,-,-,-
cxf-core-3.5.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
cxf-rt-databinding-aegis-3.5.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
cxf-utils.js,"Apache-2.0",-,-,-,Javascript,-,-,-
cxf-services-sts-core-3.5.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
dtd-parser-1.4.5.jar,"EDL-1.0",-,-,-,Java,-,-,-
ehcache-3.9.3.jar,"Apache-2.0",-,-,-,Java,-,-,-
encoder-1.2.2.jar,"BSD-3-Clause",-,-,-,Java,-,-,-
failureaccess-1.0.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
geronimo-javamail_1.4_mail-1.8.4.jar,"Apache-2.0",-,-,-,Java,-,-,-
geronimo-jta_1.1_spec-1.1.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
groovy-3.0.9.jar,"Apache-2.0",-,-,-,Java,-,-,-
groovy-xml-3.0.9.jar,"Apache-2.0",-,-,-,Java,-,-,-
guava-30.1-jre.jar,"Apache-2.0",-,-,-,Java,-,-,-
hapi-base-2.3.jar,"MPL-1.1;GPL-2.0",-,-,-,Java,-,-,-
hapi-structures-v25-2.3.jar,"MPL-1.1;GPL-2.0",-,-,-,Java,-,-,-
hibernate-validator-6.0.13.Final.jar,"Apache-2.0",-,-,-,Java,-,-,-
httpclient-4.5.13.jar,"Apache-2.0",The Apache Foundation,-,-,Java,-,-,-
httpcore-4.4.13.jar,"Apache-2.0",The Apache Foundation,-,-,Java,-,-,-
httpmime-4.5.13.jar,"Apache-2.0",The Apache Foundation,-,-,Java,-,-,http://hc.apache.org/httpcomponents-client
ipf-commons-audit-4.2.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
ipf-commons-core-4.2.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
ipf-commons-ihe-core-4.2.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
ipf-commons-ihe-ws-4.2.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
ipf-commons-ihe-xds-4.2.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
ipf-commons-xml-4.2.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
ipf-platform-camel-core-4.2.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
ipf-platform-camel-ihe-atna-4.2.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
ipf-platform-camel-ihe-core-4.2.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
ipf-platform-camel-ihe-ws-4.2.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
ipf-platform-camel-ihe-xds-4.2.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
istack-commons-runtime-3.0.12.jar,"EDL-1.0",-,-,-,Java,-,-,-
istack-commons-tools-3.0.12.jar,"EDL-1.0",-,-,-,Java,-,-,-
jackson-core-2.12.4.jar,"Apache-2.0",-,-,-,Java,-,-,-
jackson-databind-2.12.4.jar,"Apache-2.0",-,-,-,Java,-,-,-
jackson-jaxrs-base-2.12.4.jar,"Apache-2.0",-,-,-,Java,-,-,-
jackson-jaxrs-json-provider-2.12.4.jar,"Apache-2.0",-,-,-,Java,-,-,-
jackson-module-jaxb-annotations-2.12.4.jar,"Apache-2.0",-,-,-,Java,-,-,-
jakarta.activation-1.2.2.jar,"EDL-1.0",-,-,-,Java,-,-,-
jakarta.activation-api-1.2.1.jar,"EDL-1.0 (BSD-3-Clause)",-,-,-,Java,-,-,-
jakarta.annotation-api-1.3.5.jar,"EPL-2.0; GPL-2.0",-,-,-,Java,-,-,-
jakarta.el-3.0.3.jar,"EPL-2.0; GPL-2.0 w/cpe",-,-,-,Java,-,-,-
jakarta.jws-api-2.1.0.jar,"EDL-1.0",-,-,-,Java,-,-,-
jakarta.ws.rs-api-2.1.6.jar,"EPL-2.0",-,-,-,Java,-,-,-
jakarta.xml.bind-api-2.3.3.jar,"EDL-1.0",-,-,-,Java,-,-,-
jakarta.xml.soap-api-1.4.2.jar,"EDL-1.0",-,-,-,Java,-,-,-
jakarta.xml.ws-api-2.3.3.jar,"EDL-1.0",-,-,-,Java,-,-,-
jasypt-1.9.3.jar,"Apache-2.0",-,-,-,Java,-,-,-
java-support-7.5.2.jar,"Apache-2.0",-,-,-,Java,-,-,-
javax.activation-1.2.0.jar,"CDDL-1.1",-,-,-,Java,-,-,https://github.com/javaee/activation/blob/master/LICENSE.txt
javax.activation-api-1.2.0.jar,"CDDL-1.1",-,-,-,Java,-,-,-
javax.mail-api-1.6.2.jar,"CDDL-1.1",-,-,-,Java,-,-,https://javaee.github.io/javamail/LICENSE
jaxb-runtime-2.3.5.jar,"EDL-1.0",-,-,-,Java,-,-,-
jaxb-xjc-2.3.5.jar,"EDL-1.0",-,-,-,Java,-,-,-
jboss-logging-3.3.2.Final.jar,"Apache-2.0",Redhat,-,-,Java,-,-,-
jcl-over-slf4j-1.7.32.jar,"Apache-2.0",-,-,-,Java,-,-,-
jdom2-2.0.6.jar,"Apache-2.0 w/acknowledgment clause removed",-,-,-,Java,-,-,https://raw.github.com/hunterhacker/jdom/master/LICENSE.txt
joda-time-2.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
joda-time-2.10.10.jar,"Apache-2.0",-,-,-,Java,-,-,-
jquery.min.js,MIT,-,-,-,Javascript,-,-,-
jquery-ui.min.js,MIT,-,-,-,Javascript,-,-,-
jsp-api-2.2.jar,"CDDL; GPL-2.0",-,-,-,Java,-,-,-
jsr305-3.0.2.jar,"Apache-2.0",-,-,-,Java,-,-,-
jstl-1.2.jar,"CDDL-1.0; GPL-2.0",-,-,-,Java,-,-,-
log4j-1.2.17.jar,"Apache-2.0",-,-,-,Java,-,-,-
metrics-core-3.1.5.jar,"Apache-2.0",-,-,-,Java,-,-,-
mybatis-3.5.6.jar,"Apache-2.0",-,-,-,Java,-,-,http://www.apache.org/licenses/LICENSE-2.0.txt
mybatis-spring-2.0.6.jar,"Apache-2.0",-,-,-,Java,-,-,-
neethi-3.1.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
neethi-3.2.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
opensaml-core-3.4.6.jar,"Apache-2.0",-,-,-,Java,-,-,-
opensaml-saml-api-3.4.6.jar,"Apache-2.0",-,-,-,Java,-,-,-
popper.min.js,MIT,-,-,-,Javascript,-,-,-
relaxng-datatype-2.3.5.jar,"EDL-1.0",-,-,-,Java,-,-,-
rngom-2.3.5.jar,"EDL-1.0",-,-,-,Java,-,-,-
saaj-impl-1.5.3.jar,"EDL-1.0",-,-,-,Java,-,-,-
Saxon-HE-10.5.jar,"MPL-2.0",-,-,-,Java,-,-,-
sitemesh-3.0.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
slf4j-api-1.7.32.jar,"MIT",-,-,-,Java,-,-,-
slf4j-log4j12-1.7.32.jar,"MIT",-,-,-,Java,-,-,-
spring-core-5.3.9.jar,"Apache-2.0",-,-,-,Java,-,-,-
spring-security-core-5.4.7.jar,"Apache-2.0",-,-,-,Java,-,-,-
spring-web-5.3.9.jar,"Apache-2.0",-,-,-,Java,-,-,-
stax2-api-4.2.1.jar,"BSD",-,-,-,Java,-,-,-
stax-ex-1.8.3.jar,"EDL-1.0",-,-,-,Java,-,-,-
tika-core-1.24.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
